"","Targeted","Random","pool"
"ENSG00000108960",-2.44,-1.84,"P3"
"ENSG00000225663",-1.77,-1.87,"P3"
"ENSG00000133612",-1.13,-0.38,"P3"
"ENSG00000159023",-0.8,-0.3,"P3"
"ENSG00000143641",-0.76,0.31,"P3"
"ENSG00000141424",0.56,1.03,"P3"
"ENSG00000162607",-0.55,-0.37,"P3"
"ENSG00000101367",-0.5,0.52,"P3"
"ENSG00000112078",-0.45,-0.23,"P3"
"ENSG00000082641",-0.4,-2.31,"P3"
"ENSG00000163902",0.37,1.18,"P3"
"ENSG00000156298",-0.3,0.36,"P3"
"ENSG00000125458",0.24,0.1,"P3"
"ENSG00000179950",-0.16,-0.09,"P3"
"ENSG00000142192",-0.04,0.66,"P3"
"ENSG00000077279",-7.08,-6.22,"P4"
"ENSG00000196876",-2.93,-3.47,"P4"
"ENSG00000136100",-1.42,-0.07,"P4"
"ENSG00000185187",-1.34,-0.03,"P4"
"ENSG00000167548",-1.32,-1.11,"P4"
"ENSG00000165948",-1.12,-0.76,"P4"
"ENSG00000142528",-1.1,0.3,"P4"
"ENSG00000068383",-0.84,0.42,"P4"
"ENSG00000140521",-0.72,-0.13,"P4"
"ENSG00000247596",-0.69,0.36,"P4"
"ENSG00000213015",-0.55,-0.95,"P4"
"ENSG00000140829",0.39,1.28,"P4"
"ENSG00000117000",-0.36,0.01,"P4"
"ENSG00000130312",-0.31,0.26,"P4"
"ENSG00000123384",-0.19,-1.26,"P4"
